Rk,Team,Conf,W-L,BPI Off,BPI Def,BPI,Year
33,Xavier,Big East,24-14,6.8,3.6,10.4,2017
34,Rhode Island,A 10,25-10,4.8,5.6,10.4,2017
35,Syracuse,ACC,19-15,7.6,2.8,10.4,2017
36,Dayton,A 10,24-8,4.6,5.6,10.2,2017
37,Kansas St.,Big 12,21-14,5.1,5.1,10.2,2017
38,Vanderbilt,SEC,19-16,5.5,4.7,10.2,2017
39,Clemson,ACC,17-16,6.6,3.5,10,2017
40,Texas Tech,Big 12,18-14,6,3.9,9.9,2017
41,Minnesota,Big Ten,24-10,2.5,7.3,9.8,2017
42,VCU,A 10,26-9,3.5,6.2,9.7,2017
43,Michigan St.,Big Ten,20-15,4.6,5.1,9.7,2017
44,TCU,Big 12,24-15,5.7,4,9.7,2017
45,Arkansas,SEC,26-10,6.5,3.1,9.6,2017
46,Middle Tennessee,C-USA,31-5,4.9,4.5,9.5,2017
47,Northwestern,Big Ten,24-12,3.6,5.8,9.4,2017
48,Houston,American,21-11,6.5,2.7,9.2,2017
49,Nevada,MW,28-7,7.4,1.6,9,2017
50,Vermont,Am. East,29-6,4.7,4.3,9,2017
51,Maryland,Big Ten,24-9,4.7,4.2,8.9,2017
52,Virginia Tech,ACC,22-11,7.8,1,8.8,2017
53,Seton Hall,Big East,21-12,4.1,4.3,8.4,2017
54,Princeton,Ivy,23-7,3.9,4.4,8.3,2017
55,Providence,Big East,20-13,2.8,5.4,8.3,2017
56,California,Pac-12,21-13,0.4,7.7,8.1,2017
57,USC,Pac-12,26-10,6.2,1.6,7.8,2017
58,Alabama,SEC,19-15,-0.3,8.1,7.8,2017
59,Utah,Pac-12,20-12,4.2,3.4,7.7,2017
60,UNC Wilmington,CAA,29-6,8,-0.4,7.6,2017
61,Georgetown,Big East,14-18,2.8,4.4,7.2,2017
62,Tennessee,SEC,16-16,3.2,4,7.2,2017
63,Illinois,Big Ten,20-15,2.4,4.7,7.2,2017
64,Illinois St.,MVC,28-7,0.6,6.6,7.2,2017
65,UCF,American,24-12,0,6.9,7,2017
66,Ohio St.,Big Ten,17-15,3.9,3.1,6.9,2017
67,UT Arlington,Sun Belt,27-9,4,2.7,6.7,2017
68,Georgia,SEC,19-15,1.7,4.9,6.5,2017
69,Oklahoma,Big 12,20-Nov,1.1,5.3,6.4,2017
70,Texas,Big 12,22-Nov,0.2,6.2,6.4,2017
71,Pittsburgh,ACC,16-17,5.9,0.4,6.2,2017
72,Belmont,Ohio Valley E,23-7,5,1.1,6.2,2017
73,Texas A&M,SEC,16-15,2.6,3.5,6.1,2017
74,Davidson,A 10,17-15,3.8,2.3,6.1,2017
75,Mississippi,SEC,22-14,3.6,2.5,6.1,2017
76,East Tennessee St.,Southern,27-8,2.4,3.7,6.1,2017
77,Monmouth,MAAC,27-7,2.3,3.4,5.7,2017
78,Florida Gulf Coast,A-Sun,26-8,3.9,1.5,5.4,2017
79,Iowa,Big Ten,19-15,4.1,1.3,5.4,2017
80,BYU,WCC,22-12,2.5,2.9,5.4,2017
81,Bucknell,Patriot,26-9,2.8,2.4,5.2,2017
82,Auburn,SEC,18-14,3.8,1.3,5.2,2017
83,St. Bonaventure,A 10,20-12,2.8,2.2,5.1,2017
84,Akron,MAC E,27-9,5.3,-0.2,5,2017
85,San Diego St.,MW,19-14,-0.7,5.6,4.9,2017
86,Georgia Tech,ACC,21-16,-2.5,7.4,4.9,2017
87,North Carolina St.,ACC,15-17,5.6,-0.8,4.8,2017
88,Penn St.,Big Ten,15-18,-0.4,4.8,4.5,2017
89,Louisiana Tech,C-USA,23-10,1.5,3,4.5,2017
90,Ohio,MAC E,20-11,1.2,3.2,4.5,2017
91,Connecticut,American,16-17,1,3.4,4.5,2017
92,Colorado,Pac-12,19-15,3.5,0.9,4.4,2017
93,College of Charleston,CAA,25-10,0,4.4,4.4,2017
94,UNC Asheville,Big South,23-10,2,2.3,4.3,2017
95,Furman,Southern,23-12,2,2.2,4.2,2017
96,Richmond,A 10,22-13,3.6,0.6,4.2,2017
97,Saint Peter's,MAAC,23-13,-1.1,5.1,4,2017
98,Loyola Chicago,MVC,18-14,2.6,1.3,3.9,2017
99,Mississippi St.,SEC,16-16,1.3,2.5,3.9,2017
100,New Mexico St.,WAC,28-6,3,0.8,3.9,2017
101,Oakland,Horizon,25-9,0.5,3.2,3.8,2017
102,St. John's,Big East,14-19,2,1.8,3.8,2017
103,Boise St.,MW,20-12,2.6,1.2,3.7,2017
104,Winthrop,Big South,26-7,1.5,2.3,3.7,2017
105,Harvard,Ivy,18-10,0.7,2.8,3.5,2017
106,Chattanooga,Southern,19-12,1.1,2.3,3.5,2017
107,Cal St. Bakersfield,WAC,25-10,-1.7,5.1,3.4,2017
108,Fresno St.,MW,20-13,0,3.4,3.3,2017
109,Valparaiso,Horizon,24-9,0.7,2.5,3.2,2017
110,Temple,American,16-16,2,1,2.9,2017
111,Towson,CAA,20-13,0.7,2.2,2.9,2017
112,Lehigh,Patriot,20-12,1.9,1,2.9,2017
113,Toledo,MAC W,17-17,3.5,-0.7,2.9,2017
114,Louisiana,Sun Belt,21-12,4.1,-1.3,2.8,2017
115,Albany,Am. East,21-14,2.2,0.6,2.8,2017
116,Memphis,American,19-13,0.9,1.8,2.7,2017
117,William & Mary,CAA,17-14,5.1,-2.5,2.6,2017
118,Santa Clara,WCC,17-16,1.5,1.1,2.6,2017
119,San Francisco,WCC,20-13,-0.8,3.3,2.5,2017
120,Nebraska,Big Ten,19-Dec,-0.2,2.6,2.5,2017
121,Fort Wayne,Summit,20-13,3.6,-1.1,2.5,2017
122,Old Dominion,C-USA,19-12,-2.9,5.1,2.2,2017
123,UC Irvine,Big West,21-15,-1.2,3.4,2.2,2017
124,Buffalo,MAC E,17-15,0.3,1.9,2.1,2017
125,Stanford,Pac-12,14-17,-0.1,2.2,2.1,2017
126,UNC Greensboro,Southern,25-10,2.1,-0.1,2.1,2017
127,Missouri St.,MVC,17-16,2.4,-0.4,2,2017
128,Troy,Sun Belt,22-15,3.4,-1.4,2,2017
129,Arkansas St.,Sun Belt,20-12,0.2,1.7,1.9,2017
130,New Mexico,MW,17-14,1.6,0.3,1.9,2017
131,Colorado St.,MW,24-12,1.7,0.2,1.9,2017
132,Eastern Michigan,MAC W,16-17,0.7,1.1,1.8,2017
133,La Salle,A 10,15-15,3.8,-2,1.7,2017
134,Georgia St.,Sun Belt,20-13,0,1.7,1.7,2017
135,Weber St.,Big Sky,20-14,3.9,-2.3,1.6,2017
136,Yale,Ivy,18-11,0.8,0.8,1.6,2017
137,Lipscomb,A-Sun,20-13,2.7,-1.2,1.5,2017
138,George Mason,A 10,20-14,1.5,0.1,1.5,2017
139,Rutgers,Big Ten,15-18,-2.3,3.8,1.5,2017
140,Kent St.,MAC E,22-14,0.7,0.7,1.4,2017
141,Mercer,Southern,15-17,2.7,-1.3,1.4,2017
142,North Dakota,Big Sky,22-10,1.2,0.2,1.4,2017
143,North Carolina Central,MEAC,25-9,-0.7,2,1.3,2017
144,Gardner-Webb,Big South,19-14,-0.5,1.8,1.3,2017
145,Iona,MAAC,22-13,4.3,-3.2,1.2,2017
